trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.2, 'e': 1.0}",30,0,-194.56139833256827,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
80,False,"{'a': 0.2, 'e': 1.0}",20,0,-68.39002509821678,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.2, 'e': 1.0}",30,0,-58.45025055154945,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.2, 'e': 1.0}",20,0,-116.80136225855823,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.2, 'e': 1.0}",20,0,-15.976021421068442,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.2, 'e': 1.0}",20,0,-151.19156425496925,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
85,False,"{'a': 0.2, 'e': 1.0}",20,0,-52.02237331659635,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.2, 'e': 1.0}",30,0,-196.80275765771435,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
87,False,"{'a': 0.2, 'e': 1.0}",20,0,-71.83972260880286,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.2, 'e': 1.0}",30,0,-201.47602415713325,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
89,False,"{'a': 0.2, 'e': 1.0}",20,0,-33.756108616027916,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 1.0}",20,0,-89.15770480529068,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.2, 'e': 1.0}",25,0,-111.72977774404168,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.2, 'e': 1.0}",25,0,-99.67314816098273,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.2, 'e': 1.0}",20,0,-45.27874837288954,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.2, 'e': 1.0}",20,0,-50.79255475212242,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.2, 'e': 1.0}",25,0,-124.66880945956434,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
96,False,"{'a': 0.2, 'e': 1.0}",25,0,-148.61227365369749,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
97,False,"{'a': 0.2, 'e': 1.0}",25,0,-109.24486305922223,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
98,False,"{'a': 0.2, 'e': 1.0}",20,0,-23.755234336965582,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.2, 'e': 1.0}",20,0,-97.4732927382088,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.2, 'e': 1.0}",25,0,-176.98968742143714,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
101,False,"{'a': 0.2, 'e': 1.0}",20,0,-115.23402553515932,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.2, 'e': 1.0}",20,0,-59.847291879094804,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
103,False,"{'a': 0.2, 'e': 1.0}",20,0,-121.80196577520302,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
104,False,"{'a': 0.2, 'e': 1.0}",25,0,-134.56722648083442,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
105,False,"{'a': 0.2, 'e': 1.0}",30,11,-31.934463083013732,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 1.0}",30,0,-46.18220870965665,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.2, 'e': 1.0}",20,0,-97.40130008708226,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.2, 'e': 1.0}",25,0,-111.28206712358036,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.2, 'e': 1.0}",20,3,-84.776841672783,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
110,False,"{'a': 0.2, 'e': 1.0}",30,0,-89.07373966797972,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
111,False,"{'a': 0.2, 'e': 1.0}",30,0,-211.36007529945397,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
112,False,"{'a': 0.2, 'e': 1.0}",20,0,-54.36576290501925,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.2, 'e': 1.0}",25,0,-90.38392407782567,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
114,False,"{'a': 0.2, 'e': 1.0}",25,19,3.779855416249079,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 1.0}",20,0,-106.72596222293834,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.2, 'e': 1.0}",20,0,-80.40269701466417,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
117,False,"{'a': 0.2, 'e': 1.0}",25,0,-162.81343356541413,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
118,False,"{'a': 0.2, 'e': 1.0}",35,0,-228.59234784547925,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
119,False,"{'a': 0.2, 'e': 1.0}",25,0,-148.8392398067662,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
120,False,"{'a': 0.2, 'e': 1.0}",20,0,-117.58396154469558,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
121,False,"{'a': 0.2, 'e': 1.0}",25,0,-86.34146258466997,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.2, 'e': 1.0}",20,0,-26.521899624690082,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
123,False,"{'a': 0.2, 'e': 1.0}",25,0,-42.152700860111736,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.2, 'e': 1.0}",20,5,-96.38258771031926,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 1}",1
125,False,"{'a': 0.2, 'e': 1.0}",20,0,-30.056803139753875,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.2, 'e': 1.0}",35,0,-239.03938453256043,"{0: 19, 1: 6, 2: 5, 3: 1, 4: 4}",0
127,False,"{'a': 0.2, 'e': 1.0}",25,0,-189.32911213397728,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
128,False,"{'a': 0.2, 'e': 1.0}",20,0,-217.80999255412868,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",0
129,False,"{'a': 0.2, 'e': 1.0}",25,0,-108.18340036675389,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
130,False,"{'a': 0.2, 'e': 1.0}",30,0,-120.99751994463632,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
131,False,"{'a': 0.2, 'e': 1.0}",25,10,-43.38768451199292,"{0: 9, 1: 4, 2: 0, 3: 2, 4: 0}",1
132,False,"{'a': 0.2, 'e': 1.0}",25,0,-122.32624579237894,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
133,False,"{'a': 0.2, 'e': 1.0}",20,0,-140.53490356278482,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
134,False,"{'a': 0.2, 'e': 1.0}",25,0,-152.61634070744984,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
135,False,"{'a': 0.2, 'e': 1.0}",35,0,-66.6350175118839,"{0: 28, 1: 1, 2: 3, 3: 3, 4: 0}",0
136,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.42222646243756,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
137,False,"{'a': 0.2, 'e': 1.0}",30,0,-162.78896487183158,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",1
138,False,"{'a': 0.2, 'e': 1.0}",20,0,-132.40553538485324,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
139,False,"{'a': 0.2, 'e': 1.0}",25,0,-126.8799232270329,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
140,False,"{'a': 0.2, 'e': 1.0}",30,3,-138.23079345485934,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 2}",1
141,False,"{'a': 0.2, 'e': 1.0}",20,0,-156.3988088079581,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.2, 'e': 1.0}",30,0,-111.70301319327015,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.2, 'e': 1.0}",20,0,-49.54807156282659,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.2, 'e': 1.0}",20,0,-109.66273122145748,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
145,False,"{'a': 0.2, 'e': 1.0}",25,0,-194.97419652499525,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
146,False,"{'a': 0.2, 'e': 1.0}",35,0,-278.0186965998229,"{0: 16, 1: 5, 2: 9, 3: 1, 4: 4}",0
147,False,"{'a': 0.2, 'e': 1.0}",20,0,-149.51749746135837,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
148,False,"{'a': 0.2, 'e': 1.0}",20,0,-170.64260609676973,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
149,False,"{'a': 0.2, 'e': 1.0}",20,10,-9.063814682319832,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 1.0}",30,0,-76.96825531520639,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.2, 'e': 1.0}",20,0,-78.3457304621192,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
152,False,"{'a': 0.2, 'e': 1.0}",20,0,-159.78060476341403,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
153,False,"{'a': 0.2, 'e': 1.0}",20,0,-209.35750902984736,"{0: 6, 1: 4, 2: 6, 3: 1, 4: 3}",0
154,False,"{'a': 0.2, 'e': 1.0}",20,0,-136.9560123929154,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
