trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,0,-88.21172870372551,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",30,0,-92.67078159241743,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,11,-56.55519337713388,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,13,-5.747982014812632,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-42.564479134032034,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",25,0,-86.32674733754273,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",25,16,-22.15739219433565,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",25,0,-60.06795140145329,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-104.16335819970978,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",20,0,-74.27541375691678,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",20,0,-136.2982458732186,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,0,-101.17902502377125,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,1,-43.02791770500607,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",30,2,-44.52644384151181,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,11,-66.04602060301661,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-91.06456287604465,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,5,-120.67836571946737,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 2}",1
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",25,0,-158.5759472660804,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-27.421512785495008,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,10,-30.307633736355672,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-121.73175582565261,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-60.59555064523714,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",30,0,-87.57322054969609,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,13,4.416283613347814,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-19.202052231821707,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,6,-63.03600956952096,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-79.34624999375933,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-222.2674090502584,"{0: 9, 1: 0, 2: 5, 3: 3, 4: 3}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,0,-38.760762555117104,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,0,-70.91838766458751,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",25,16,-75.29931548628375,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",25,0,-73.70272442100281,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-48.79261250927976,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-24.468232471204306,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-53.684503340076944,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",30,0,-52.32398168691325,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",35,0,-96.30918687011497,"{0: 25, 1: 5, 2: 3, 3: 0, 4: 2}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,0,-63.44779182650113,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-91.04321000702562,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,0,-74.48528949680022,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-66.71524799897408,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",30,4,-16.975057690596213,"{0: 20, 1: 5, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",30,17,-19.908751475687833,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,0,-86.49977507420721,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",30,17,-13.344678499608497,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",30,0,-131.62786923809966,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,6,1.3211496419512496,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",25,0,-129.3397839919418,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",25,0,-20.655841842530894,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,0,-166.63575821987237,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",20,9,-6.9956259752791,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-103.81406773814172,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",25,14,-88.98339478622067,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 1}",1
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",30,20,14.50764773203231,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-77.13965831522127,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-88.85223935311717,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-170.4089836988209,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-17.965942283903075,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",25,0,-145.43015238856339,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",25,0,-38.564876937552484,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",35,0,-74.82223608125409,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-62.85783849943486,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,14,-5.355252960863839,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,8,-1.9505718730346102,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,14,-14.188656018531791,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,0,-112.64622283023091,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",20,8,-33.92118248358299,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,0,-82.66379227797339,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-83.9858304812346,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",20,0,-66.54223370724608,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
178,False,"{'a': 0.002, 'e': 0.701874967355394}",25,0,-133.3595708213027,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",30,1,-132.88132157018381,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 2}",1
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",20,13,-30.572414570997555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.002, 'e': 0.697676326071031}",20,0,-18.263822610524006,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
182,False,"{'a': 0.002, 'e': 0.696282367841771}",30,0,-23.42346788121011,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
183,False,"{'a': 0.002, 'e': 0.6948911947429106}",25,14,-10.97984480193643,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
